Sequence:1 | Start:4 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.6e-30 | Cond.E-value:4.2e-34 | Bit score:104.8
Sequence:2 | Start:59 | End:180 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.1e-19 | Cond.E-value:2.4e-23 | Bit score:69.5
Sequence:3 | Start:3 | End:84 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:8.8e-21 | Cond.E-value:3.4e-25 | Bit score:74.5
Sequence:4 | Start:11 | End:142 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.1e-40 | Cond.E-value:1.2e-44 | Bit score:137.4
Sequence:6 | Start:2 | End:120 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.1e-33 | Cond.E-value:4.4e-38 | Bit score:116.2
Sequence:7 | Start:2 | End:131 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:6e-41 | Cond.E-value:4.7e-45 | Bit score:139.7
Sequence:8 | Start:16 | End:147 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.4e-42 | Cond.E-value:1.7e-46 | Bit score:143.3
Sequence:9 | Start:2 | End:128 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.8e-40 | Cond.E-value:6.9e-45 | Bit score:138.2
Sequence:10 | Start:36 | End:130 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.7e-29 | Cond.E-value:2.2e-33 | Bit score:100.9
Sequence:11 | Start:27 | End:158 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.5e-40 | Cond.E-value:2.2e-44 | Bit score:136.5
Sequence:12 | Start:13 | End:145 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4e-41 | Cond.E-value:6.2e-45 | Bit score:140.2
Sequence:13 | Start:12 | End:142 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.2e-37 | Cond.E-value:8.8e-42 | Bit score:128.1
